역명,주소,사유
충무로,서울특별시 중구 퇴계로 지하214(필동2가),'NoneType' object is not subscriptable
동대입구,서울특별시 중구 동호로 지하256(장충동2가),'NoneType' object is not subscriptable
약수,서울특별시 중구 다산로 지하122(신당동),'NoneType' object is not subscriptable
금호,서울특별시 성동구 동호로 지하104(금호동4가),'NoneType' object is not subscriptable
옥수,서울특별시 성동구 동호로 21(옥수동),'NoneType' object is not subscriptable
압구정,서울특별시 강남구 압구정로 지하172(신사동),'NoneType' object is not subscriptable
신사,서울특별시 강남구 도산대로 지하102(신사동),'NoneType' object is not subscriptable
잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),'NoneType' object is not subscriptable
고속터미널,서울특별시 서초구 신반포로 지하188(반포동),'NoneType' object is not subscriptable
"교대(법원, 검찰청)",서울특별시 서초구 서초대로 지하294(서초동),'NoneType' object is not subscriptable
남부터미널(예술의전당),서울특별시 서초구 서초중앙로 지하31(서초동),'NoneType' object is not subscriptable
양재(서초구청),서울특별시 서초구 남부순환로 지하2585(서초동),'NoneType' object is not subscriptable
매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),'NoneType' object is not subscriptable
도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),'NoneType' object is not subscriptable
대치,서울특별시 강남구 남부순환로 지하2952(대치동),'NoneType' object is not subscriptable
학여울,서울특별시 강남구 남부순환로 지하3104(대치동),'NoneType' object is not subscriptable
대청,서울특별시 강남구 일원로 지하2(일원동),'NoneType' object is not subscriptable
일원,서울특별시 강남구 일원로 지하121(일원동),'NoneType' object is not subscriptable
수서,서울특별시 강남구 광평로 지하270(수서동),'NoneType' object is not subscriptable
가락시장,서울특별시 송파구 송파대로 지하257(가락동),'NoneType' object is not subscriptable
경찰병원,서울특별시 송파구 중대로 지하149(가락동),'NoneType' object is not subscriptable
오금,서울특별시 송파구 오금로 지하321(오금동),'NoneType' object is not subscriptable
당고개,서울특별시 노원구 상계로 305(상계동),'NoneType' object is not subscriptable
상계,서울특별시 노원구 상계로 182(상계동),'NoneType' object is not subscriptable
노원,서울특별시 노원구 상계로 69-1(상계동),'NoneType' object is not subscriptable
창동,서울특별시 도봉구 마들로11길 77(창동),'NoneType' object is not subscriptable
쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),'NoneType' object is not subscriptable
수유(강북구청),서울특별시 강북구 도봉로 지하338(수유동),'NoneType' object is not subscriptable
미아(서울사이버대학),서울특별시 강북구 도봉로 지하198(미아동),'NoneType' object is not subscriptable
미아사거리 ,서울특별시 강북구 도봉로 지하50(미아동),'NoneType' object is not subscriptable
길음,서울특별시 성북구 동소문로 지하248(길음동),'NoneType' object is not subscriptable
성신여대입구(돈암),서울특별시 성북구 동소문로 지하102(동선동4가),'NoneType' object is not subscriptable
한성대입구(삼선교),서울특별시 성북구 삼선교로 지하1(삼선동1가),'NoneType' object is not subscriptable
혜화,서울특별시 종로구 대학로 지하120(명륜4가),'NoneType' object is not subscriptable
동대문,서울특별시 종로구 율곡로 지하308(종로6가),'NoneType' object is not subscriptable
동대문역사문화공원(DDP),서울특별시 중구 장충단로 지하230(광희동2가),'NoneType' object is not subscriptable
충무로,서울특별시 중구 퇴계로 지하214(필동2가),'NoneType' object is not subscriptable
명동,서울특별시 중구 퇴계로 지하126(충무로2가),'NoneType' object is not subscriptable
회현(남대문시장),서울특별시 중구 퇴계로 지하54(남창동),'NoneType' object is not subscriptable
서울,서울특별시 용산구 한강대로 지하392(동자동),'NoneType' object is not subscriptable
숙대입구(갈월),서울특별시 용산구 한강대로 지하306(갈월동),'NoneType' object is not subscriptable
삼각지,서울특별시 용산구 한강대로 지하180(한강로1가),'NoneType' object is not subscriptable
신용산,서울특별시 용산구 한강대로 지하112(한강로2가),'NoneType' object is not subscriptable
이촌(국립중앙박물관),서울특별시 용산구 서빙고로 지하83(용산동5가),'NoneType' object is not subscriptable
동작(현충원),서울특별시 동작구 현충로 257(동작동),'NoneType' object is not subscriptable
총신대입구(이수),서울특별시 동작구 동작대로 지하117(사당동),'NoneType' object is not subscriptable
사당,서울특별시 동작구  동작대로 지하3(사당동),'NoneType' object is not subscriptable
남태령,서울특별시 서초구 과천대로 지하816(방배동),'NoneType' object is not subscriptable
방화,서울특별시 강서구 금낭화로 지하132(방화동),'NoneType' object is not subscriptable
개화산,서울특별시 강서구 양천로 22(방화동),'NoneType' object is not subscriptable
김포공항,서울특별시 강서구 하늘길 지하77(방화동),'NoneType' object is not subscriptable
송정,서울특별시 강서구 공항대로 지하33(공항동),'NoneType' object is not subscriptable
마곡,서울특별시 강서구 공항대로 지하163(마곡동),'NoneType' object is not subscriptable
발산,서울특별시 강서구 공항대로 지하267(마곡동),'NoneType' object is not subscriptable
우장산,서울특별시 강서구 강서로 지하262(화곡동),'NoneType' object is not subscriptable
화곡,서울특별시 강서구 화곡로 지하168(화곡동),'NoneType' object is not subscriptable
까치산,서울특별시 강서구 강서로 지하54(화곡동),'NoneType' object is not subscriptable
신정(은행정),서울특별시 양천구 오목로 지하179(신정동),'NoneType' object is not subscriptable
목동,서울특별시 양천구 오목로 지하245(목동),'NoneType' object is not subscriptable
오목교(목동운동장앞),서울특별시 양천구 오목로 지하342(목동),'NoneType' object is not subscriptable
양평,서울특별시 영등포구 양산로 지하21(양평동2가),'NoneType' object is not subscriptable
영등포구청,서울특별시 영등포구 양산로 지하116(당산동3가),'NoneType' object is not subscriptable
영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가),'NoneType' object is not subscriptable
신길,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),'NoneType' object is not subscriptable
여의도,서울특별시 영등포구 여의나루로 지하40(여의도동),'NoneType' object is not subscriptable
여의나루,서울특별시 영등포구 여의동로 지하343(여의도동),'NoneType' object is not subscriptable
마포,서울특별시 마포구 마포대로 지하33(도화동),'NoneType' object is not subscriptable
공덕,서울특별시 마포구 마포대로 지하100(공덕동),'NoneType' object is not subscriptable
애오개,서울특별시 마포구 마포대로 지하210(아현동),'NoneType' object is not subscriptable
충정로(경기대입구),서울특별시 서대문구 충정로 지하 28-1(충정로3가),'NoneType' object is not subscriptable
서대문,서울특별시 종로구 통일로 지하126(평동),'NoneType' object is not subscriptable
광화문(세종문화회관),서울특별시 종로구 세종대로 지하172(세종로),'NoneType' object is not subscriptable
종로3가(탑골공원),서울특별시 종로구 돈화문로11길 지하 26(돈의동),'NoneType' object is not subscriptable
을지로4가,서울특별시 중구 창경궁로 지하51(주교동),'NoneType' object is not subscriptable
동대문역사문화공원(DDP),서울특별시 중구 마른내로 지하162(광희동1가),'NoneType' object is not subscriptable
청구,서울특별시 중구 청구로 지하77(신당동),'NoneType' object is not subscriptable
신금호,서울특별시 성동구 금호로 지하154(금호동2가),'NoneType' object is not subscriptable
행당,서울특별시 성동구 행당로 지하89(행당동),'NoneType' object is not subscriptable
왕십리(성동구청),서울특별시 성동구 왕십리로 지하300(행당동),'NoneType' object is not subscriptable
마장,서울특별시 성동구 마장로 지하296(마장동),'NoneType' object is not subscriptable
답십리,서울특별시 성동구 천호대로 지하300(용답동),'NoneType' object is not subscriptable
장한평,서울특별시 동대문구 천호대로 지하405(장안동),'NoneType' object is not subscriptable
군자(능동),서울특별시 광진구 천호대로 지하550(능동),'NoneType' object is not subscriptable
아차산(어린이대공원후문),서울특별시 광진구 천호대로 지하657(능동),'NoneType' object is not subscriptable
광나루(장신대),서울특별시 광진구 아차산로 지하571(광장동),'NoneType' object is not subscriptable
천호(풍납토성),서울특별시 강동구 천호대로 지하997(천호동),'NoneType' object is not subscriptable
강동,서울특별시 강동구 천호대로 지하1097(천호동),'NoneType' object is not subscriptable
길동,서울특별시 강동구 양재대로 지하1480(길동),'NoneType' object is not subscriptable
굽은다리(강동구민회관앞),서울특별시 강동구 양재대로 지하1572(명일동),'NoneType' object is not subscriptable
명일,서울특별시 강동구 양재대로 지하1632(명일동),'NoneType' object is not subscriptable
고덕,서울특별시 강동구 고덕로 지하253(고덕동),'NoneType' object is not subscriptable
상일동,서울특별시 강동구 고덕로 지하359(상일동),'NoneType' object is not subscriptable
둔촌동,서울특별시 강동구 양재대로 지하1369(둔촌동),'NoneType' object is not subscriptable
올림픽공원(한국체대),서울특별시 송파구 양재대로 지하1233(방이동),'NoneType' object is not subscriptable
방이,서울특별시 송파구 양재대로 지하1127(방이동),'NoneType' object is not subscriptable
오금,서울특별시 송파구 오금로 지하321(오금동),'NoneType' object is not subscriptable
개롱,서울특별시 송파구 오금로 지하402(가락동),'NoneType' object is not subscriptable
거여,서울특별시 송파구 오금로 지하499(거여동),'NoneType' object is not subscriptable
마천,서울특별시 송파구 마천로57길 지하7(마천동),'NoneType' object is not subscriptable
강일,서울특별시 강동구 고덕로 지하456(강일동),'NoneType' object is not subscriptable
미사,경기도 하남시 미사강변동로 지하90(망월동),'NoneType' object is not subscriptable
하남풍산,경기도 하남시 덕풍서로 지하50(덕풍동),'NoneType' object is not subscriptable
하남시청(덕풍?신장),경기도 하남시 하남대로 지하820(덕풍동),'NoneType' object is not subscriptable
하남검단산,경기도 하남시 대청로 지하100(창우동),'NoneType' object is not subscriptable
응암,서울특별시 은평구 증산로 지하477(신사동),'NoneType' object is not subscriptable
역촌,서울특별시 은평구 서오릉로 지하63(녹번동),'NoneType' object is not subscriptable
불광,서울특별시 은평구 통일로 지하723-1(대조동),'NoneType' object is not subscriptable
독바위,서울특별시 은평구 불광로 지하129-1(불광동),'NoneType' object is not subscriptable
연신내,서울특별시 은평구 통일로 지하849(갈현동),'NoneType' object is not subscriptable
구산,서울특별시 은평구 연서로 지하137-1(구산동),'NoneType' object is not subscriptable
새절(신사),서울특별시 은평구 증산로 지하400(신사동),'NoneType' object is not subscriptable
증산(명지대앞),서울특별시 은평구 증산로 지하306(증산동),'NoneType' object is not subscriptable
디지털미디어시티,서울특별시 은평구 수색로 지하175(증산동),'NoneType' object is not subscriptable
월드컵경기장(성산),서울특별시 마포구 월드컵로 지하240(성산동),'NoneType' object is not subscriptable
마포구청,서울특별시 마포구 월드컵로 지하190(성산동),'NoneType' object is not subscriptable
망원,서울특별시 마포구 월드컵로 지하77(망원동),'NoneType' object is not subscriptable
합정,서울특별시 마포구 양화로 지하45(합정동),'NoneType' object is not subscriptable
